DEAL_NO,PURPOSE,AMOUNT
502714,Business Expansion,9239.87
502715,Business Expansion,1644.38
502716,Working Capital,3048.73
502717,Equipment Purchase,1191.21
502717,Business Expansion,1191.21
502717,Working Capital,1191.22
502718,Home Purchase,1058.92
502719,Business Expansion,184.58
502719,Working Capital,184.58
502719,Equipment Purchase,184.59
502720,Business Expansion,155157.01
502721,Equipment Purchase,1572.38
502721,Business Expansion,1572.38
502722,Debt Consolidation,582.2
502722,Working Capital,582.19
502723,Business Expansion,24965.89
502724,Working Capital,7379.76
502725,Working Capital,957.08
502726,Working Capital,1446.77
502727,Working Capital,367.55
502727,Home Purchase,367.55
502727,Real Estate Purchase,367.55
502728,Business Expansion,24217.82
502729,Working Capital,3975.51
502729,Equipment Purchase,3975.51
502729,Business Expansion,3975.5
502730,Business Expansion,72847.61
502731,Equipment Purchase,12071.31
502732,Construction,11339.43
502733,Business Expansion,3648.31
502734,Business Expansion,35256.84
502735,Debt Consolidation,33475.77
502736,Business Expansion,149244.83
502737,Home Purchase,1344.21
502738,Business Expansion,5473.59
502738,Equipment Purchase,5473.58
502738,Working Capital,5473.59
502739,Debt Consolidation,161865.32
502740,Business Expansion,3357.45
502741,Business Expansion,7901.76
502742,Construction,2783.71
502743,Business Expansion,1757.54
502744,Working Capital,2436.84
502745,Working Capital,1204.71
502745,Working Capital,1204.72
502746,Equipment Purchase,33304.17
502746,Working Capital,33304.18
502746,Business Expansion,33304.17
502747,Working Capital,1253.88
502748,Debt Consolidation,23384.76
502749,Equipment Purchase,1004.4
502749,Working Capital,1004.4
502749,Business Expansion,1004.4
502750,Home Purchase,540.57
502750,Real Estate Purchase,540.58
502750,Working Capital,540.57
502751,Business Expansion,10709.19
502752,Business Expansion,453.32
502753,Working Capital,10760.34
502753,Working Capital,10760.34
502754,Business Expansion,26851.71
502755,Personal Consumption,1440.86
502756,Working Capital,64715.54
502756,Working Capital,64715.53
502757,Working Capital,1132.27
502757,Business Expansion,1132.27
502757,Equipment Purchase,1132.26
502758,Debt Consolidation,6641.53
502759,Working Capital,32754.2
502760,Working Capital,3957.51
502761,Equipment Purchase,4572.93
502762,Working Capital,35907.4
502763,Vehicle Purchase,1286.18
502764,Debt Consolidation,4366.43
502765,Vehicle Purchase,370.46
502766,Business Expansion,3629.97
502767,Construction,2796.89
502768,Business Expansion,21951.76
502769,Business Expansion,22461.53
502770,Home Purchase,680.35
502771,Business Expansion,5654.92
502771,Working Capital,5654.92
502772,Equipment Purchase,2570.6
502773,Working Capital,3210.23
502774,Home Purchase,1163.24
502775,Equipment Purchase,3453.34
502776,Working Capital,62295.15
502777,Working Capital,79.61
502777,Debt Consolidation,79.61
502777,Personal Consumption,79.61
502778,Equipment Purchase,11240.52
502778,Working Capital,11240.52
502778,Business Expansion,11240.51
502779,Home Purchase,1272.12
502780,Working Capital,7786.59
502780,Business Expansion,7786.58
502780,Equipment Purchase,7786.59
502781,Business Expansion,6208.23
502782,Working Capital,15745.83
502783,Business Expansion,4579.18
502783,Working Capital,4579.17
502784,Construction,9255.99
502785,Equipment Purchase,33040.35
502786,Working Capital,11270.87
502787,Business Expansion,1563.72
502787,Working Capital,1563.73
502788,Business Expansion,119.54
502788,Working Capital,119.54
502788,Equipment Purchase,119.54
502789,Personal Consumption,159.34
502790,Business Expansion,1198.14
502791,Vehicle Purchase,1536.41
502792,Equipment Purchase,34971.1
502793,Debt Consolidation,127472.29
502794,Business Expansion,7422.58
502795,Working Capital,64033.68
502796,Working Capital,12157.51
502797,Working Capital,2219.64
502798,Equipment Purchase,836.33
502799,Working Capital,1135.71
502799,Working Capital,1135.71
502800,Business Expansion,27473.41
502801,Business Expansion,77058.87
502802,Working Capital,80777.97
502803,Working Capital,501.14
502803,Vehicle Purchase,501.15
502804,Business Expansion,25473.62
502805,Working Capital,14471.65
502806,Equipment Purchase,1750.65
502807,Home Purchase,1656.03
502808,Working Capital,2195.67
502809,Business Expansion,2021.11
502809,Working Capital,2021.11
502810,Personal Consumption,1585.89
502811,Debt Consolidation,72821.84
502812,Working Capital,55401.54
502812,Construction,55401.54
502813,Working Capital,1689.61
502814,Business Expansion,4359.04
502815,Equipment Purchase,2282.66
502816,Equipment Purchase,147946.38
502817,Vehicle Purchase,804.0
502818,Business Expansion,1272.44
502818,Working Capital,1272.44
502819,Refinance,26224.94
502820,Refinance,1750.71
502820,Refinance,1750.72
502821,Refinance,1308.95
502821,Refinance,1308.95
502822,Refinance,12492.6
502823,Refinance,30415.56
502824,Refinance,2891.44
502825,Refinance,6847.21
502826,Refinance,3847.5
502827,Refinance,3245.38
502828,Refinance,13583.57
502829,Refinance,20917.15
502829,Refinance,20917.15
502830,Refinance,27956.4
502831,Refinance,1876.2
502832,Refinance,2006.39
502833,Refinance,10952.14
502834,Refinance,1040.45
502834,Refinance,1040.45
502834,Refinance,1040.46
502835,Refinance,28461.81
502836,Refinance,39991.66
502837,Personal Consumption,792.42
502838,Vehicle Purchase,531.13
502839,Business Expansion,4420.03
502839,Equipment Purchase,4420.03
502839,Working Capital,4420.03
502840,Working Capital,26.48
502841,Working Capital,70114.95
502842,Equipment Purchase,3254.51
502843,Debt Consolidation,17821.23
502844,Business Expansion,3443.06
502845,Working Capital,1691.56
502846,Working Capital,997.11
502847,Working Capital,33687.53
502848,Working Capital,9838.74
502848,Working Capital,9838.73
502849,Working Capital,22495.29
502850,Business Expansion,6730.43
502851,Vehicle Purchase,40.11
502852,Personal Consumption,1194.9
502853,Real Estate Purchase,1456.03
502854,Vehicle Purchase,427.49
502855,Working Capital,1256.78
502855,Equipment Purchase,1256.78
502855,Business Expansion,1256.77
502856,Business Expansion,13904.97
502857,Working Capital,9680.79
502858,Working Capital,1391.79
502858,Business Expansion,1391.78
502858,Construction,1391.79
502859,Working Capital,4096.66
502860,Equipment Purchase,29713.7
502861,Equipment Purchase,2595.37
502862,Working Capital,349.43
502862,Debt Consolidation,349.43
502863,Business Expansion,4315.49
502864,Business Expansion,15987.82
502864,Working Capital,15987.82
502865,Business Expansion,2818.64
502866,Construction,21828.15
502867,Working Capital,3113.67
502868,Working Capital,2990.54
502869,Debt Consolidation,24220.52
502870,Vehicle Purchase,393.37
502871,Equipment Purchase,3574.61
502872,Working Capital,9965.59
502873,Vehicle Purchase,1771.08
502874,Business Expansion,16707.86
502875,Business Expansion,1389.98
502875,Working Capital,1389.98
502876,Home Purchase,630.35
502877,Debt Consolidation,67.62
502878,Working Capital,8559.54
502879,Working Capital,4346.93
502880,Real Estate Purchase,676.67
502881,Business Expansion,171353.89
502882,Personal Consumption,618.52
502882,Debt Consolidation,618.53
502883,Vehicle Purchase,1242.42
502884,Business Expansion,1862.52
502885,Construction,3810.06
502886,Working Capital,29953.85
502887,Working Capital,10627.94
502887,Working Capital,10627.95
502888,Equipment Purchase,1592.79
502889,Business Expansion,11042.66
502890,Working Capital,1219.73
502891,Personal Consumption,913.36
502892,Business Expansion,28449.87
502893,Construction,2974.68
502894,Real Estate Purchase,574.7
502895,Real Estate Purchase,1704.27
502896,Equipment Purchase,262.83
502896,Business Expansion,262.83
502896,Working Capital,262.83
502897,Vehicle Purchase,609.0
502898,Working Capital,2050.97
502898,Working Capital,2050.98
502899,Equipment Purchase,92.15
502899,Working Capital,92.15
502899,Working Capital,92.15
502900,Personal Consumption,775.05
502900,Working Capital,775.05
502901,Equipment Purchase,1178.49
502902,Equipment Purchase,4184.7
502903,Home Purchase,299.11
502903,Real Estate Purchase,299.11
502904,Personal Consumption,1269.03
502905,Equipment Purchase,1372.38
502906,Working Capital,1940.05
502906,Construction,1940.05
502906,Business Expansion,1940.05
502907,Working Capital,81.64
502907,Equipment Purchase,81.64
502907,Working Capital,81.64
502908,Business Expansion,81110.93
502909,Vehicle Purchase,396.12
502909,Working Capital,396.12
502910,Working Capital,1812.11
502911,Vehicle Purchase,1268.48
502912,Working Capital,1002.14
502913,Equipment Purchase,621.96
502914,Equipment Purchase,2767.67
502915,Home Purchase,126.34
502916,Construction,170953.85
502917,Working Capital,3449.24
502918,Business Expansion,4881.43
502919,Debt Consolidation,73574.63
502920,Working Capital,38604.09
502921,Equipment Purchase,36437.2
502922,Equipment Purchase,2194.15
502923,Working Capital,12845.15
502924,Working Capital,76396.13
502925,Business Expansion,68298.15
502925,Working Capital,68298.16
502926,Home Purchase,455.45
502927,Equipment Purchase,11571.02
502927,Working Capital,11571.02
502928,Equipment Purchase,20476.74
502929,Working Capital,1483.72
502929,Business Expansion,1483.72
502929,Equipment Purchase,1483.73
502930,Business Expansion,25221.92
502931,Real Estate Purchase,1395.63
502932,Working Capital,2887.2
502933,Vehicle Purchase,972.62
502934,Equipment Purchase,31761.87
502935,Equipment Purchase,2192.04
502935,Working Capital,2192.04
502936,Working Capital,96281.63
502937,Business Expansion,96267.06
502938,Working Capital,4332.91
502939,Business Expansion,1515.95
502939,Working Capital,1515.95
502940,Business Expansion,21434.49
502941,Construction,8001.17
502941,Business Expansion,8001.17
502941,Working Capital,8001.17
502942,Working Capital,19747.19
502943,Business Expansion,25825.24
502944,Vehicle Purchase,1270.49
502945,Vehicle Purchase,1703.96
502946,Construction,15672.32
502947,Business Expansion,2592.82
502948,Working Capital,91741.32
502949,Working Capital,1306.95
502950,Working Capital,939.01
502950,Business Expansion,939.02
502951,Business Expansion,2299.81
502952,Working Capital,3168.7
502953,Working Capital,2731.01
502954,Business Expansion,8193.57
502954,Working Capital,8193.57
502954,Working Capital,8193.56
502955,Construction,20749.27
502956,Business Expansion,80157.14
502957,Business Expansion,39556.64
502958,Working Capital,3018.98
502959,Business Expansion,2557.2
502960,Business Expansion,2026.02
502961,Business Expansion,3965.78
502962,Vehicle Purchase,855.58
502963,Debt Consolidation,538.06
502964,Vehicle Purchase,363.29
502965,Working Capital,78614.3
502966,Business Expansion,8864.75
502966,Working Capital,8864.75
502966,Construction,8864.76
502967,Personal Consumption,363.8
502967,Working Capital,363.81
502967,Debt Consolidation,363.8
502968,Business Expansion,3455.37
502969,Personal Consumption,61.22
502970,Business Expansion,3451.67
502971,Business Expansion,3381.14
502972,Working Capital,3281.07
502972,Working Capital,3281.06
502973,Working Capital,1649.01
502974,Construction,143906.97
502975,Debt Consolidation,174174.25
502976,Debt Consolidation,38590.72
502977,Working Capital,384.5
502977,Equipment Purchase,384.5
502977,Working Capital,384.51
502978,Business Expansion,116716.86
502979,Working Capital,2108.99
502980,Business Expansion,176956.05
502981,Working Capital,3999.61
502982,Working Capital,2178.68
502983,Working Capital,947.04
502983,Business Expansion,947.05
502984,Business Expansion,148743.91
502985,Working Capital,2471.69
502986,Construction,1063.68
502986,Working Capital,1063.69
502987,Vehicle Purchase,427.15
502988,Equipment Purchase,3044.87
502989,Working Capital,112.73
502989,Business Expansion,112.73
502989,Working Capital,112.73
502990,Working Capital,2571.64
502991,Business Expansion,3391.53
502992,Debt Consolidation,948.9
502993,Debt Consolidation,1594.9
502994,Personal Consumption,394.18
502995,Business Expansion,158633.06
502996,Construction,1395.17
502996,Business Expansion,1395.17
502997,Business Expansion,96464.27
502998,Debt Consolidation,36582.53
502998,Working Capital,36582.53
502999,Debt Consolidation,2957.54
503000,Equipment Purchase,2665.87
503001,Home Purchase,707.65
503002,Construction,2479.71
503003,Equipment Purchase,2990.74
503004,Working Capital,84562.6
503005,Working Capital,20161.18
503005,Business Expansion,20161.17
503005,Equipment Purchase,20161.18
503006,Equipment Purchase,4455.76
503007,Home Purchase,1061.99
503008,Business Expansion,152432.86
503009,Equipment Purchase,70631.4
503010,Equipment Purchase,137385.41
503011,Equipment Purchase,1959.03
503011,Working Capital,1959.03
503012,Working Capital,107112.94
503013,Construction,20265.79
503014,Equipment Purchase,26686.04
503015,Business Expansion,2481.42
503016,Debt Consolidation,801.58
503017,Debt Consolidation,74241.0
503018,Working Capital,6108.94
503019,Working Capital,1654.31
503019,Debt Consolidation,1654.3
503020,Construction,4388.02
503021,Real Estate Purchase,1321.93
503022,Debt Consolidation,21942.66
503023,Equipment Purchase,1269.03
503024,Debt Consolidation,118906.82
503025,Business Expansion,29623.34
503026,Equipment Purchase,698.73
503027,Vehicle Purchase,138.12
503028,Home Purchase,509.07
503029,Vehicle Purchase,1759.0
503030,Home Purchase,1392.89
503031,Debt Consolidation,5716.03
503032,Business Expansion,73609.84
503033,Business Expansion,23237.13
503034,Working Capital,15589.08
503035,Construction,184998.94
503036,Equipment Purchase,15264.32
503036,Working Capital,15264.32
503037,Personal Consumption,116.43
503038,Business Expansion,2579.57
503039,Vehicle Purchase,1224.57
503040,Real Estate Purchase,1497.85
503041,Business Expansion,10435.36
503042,Working Capital,10817.95
503042,Working Capital,10817.95
503042,Business Expansion,10817.96
503043,Debt Consolidation,12056.88
503044,Vehicle Purchase,354.65
503045,Working Capital,63034.48
503046,Working Capital,3584.0
503047,Vehicle Purchase,1363.62
503048,Real Estate Purchase,266.0
503049,Construction,4064.31
503050,Working Capital,445.63
503051,Real Estate Purchase,854.66
503052,Construction,170201.33
503053,Working Capital,89053.97
503054,Equipment Purchase,159948.75
503055,Business Expansion,1652.1
503055,Working Capital,1652.09
503056,Business Expansion,15225.62
503057,Working Capital,1580.34
503057,Working Capital,1580.34
503058,Equipment Purchase,140086.91
503059,Working Capital,1613.82
503060,Working Capital,2389.16
503061,Working Capital,23226.24
503062,Personal Consumption,255.02
503063,Equipment Purchase,7817.4
503063,Business Expansion,7817.39
503063,Working Capital,7817.4
503064,Home Purchase,1025.46
503065,Business Expansion,6119.48
503065,Working Capital,6119.48
503066,Business Expansion,3045.13
503067,Construction,2482.14
503068,Working Capital,2203.93
503068,Working Capital,2203.93
503069,Working Capital,19812.97
503070,Working Capital,14596.22
503071,Equipment Purchase,3037.47
503072,Working Capital,2501.91
503073,Business Expansion,899.03
503074,Business Expansion,718.82
